iter	Passed	Remaining
415	2875	4037
416	2881	4029
417	2888	4021
418	2895	4015
419	2902	4007
420	2908	4000
421	2915	3993
422	2921	3985
423	2928	3977
424	2934	3970
425	2941	3962
426	2946	3954
427	2952	3946
428	2958	3938
429	2964	3930
430	2970	3922
431	2976	3914
432	2983	3906
433	2989	3899
434	2996	3892
435	3002	3884
436	3009	3876
437	3015	3868
438	3022	3862
439	3028	3854
440	3035	3847
441	3042	3840
442	3048	3833
443	3055	3826
444	3062	3818
445	3069	3812
446	3075	3804
447	3082	3797
448	3088	3789
449	3093	3781
450	3099	3773
451	3105	3765
452	3112	3757
453	3118	3750
454	3124	3742
455	3130	3734
456	3136	3726
457	3142	3719
458	3149	3712
459	3156	3704
460	3163	3698
461	3169	3690
462	3176	3683
463	3182	3676
464	3188	3668
465	3195	3662
466	3202	3654
467	3208	3647
468	3214	3640
469	3220	3632
470	3228	3625
471	3235	3618
472	3253	3625
473	3261	3619
474	3268	3612
475	3275	3606
476	3282	3598
477	3288	3590
478	3296	3585
479	3302	3577
480	3309	3571
481	3315	3563
482	3321	3555
483	3327	3547
484	3333	3540
485	3340	3532
486	3346	3524
487	3352	3516
488	3357	3509
489	3364	3501
490	3370	3493
491	3375	3485
492	3381	3477
493	3388	3470
494	3394	3462
495	3400	3455
496	3407	3449
497	3413	3441
498	3420	3433
499	3426	3426
500	3434	3420
501	3441	3413
502	3449	3408
503	3455	3400
504	3462	3393
505	3469	3386
506	3475	3379
507	3482	3372
508	3488	3364
509	3493	3356
510	3500	3349
511	3506	3342
512	3512	3334
513	3520	3328
514	3527	3321
515	3534	3315
516	3541	3308
517	3548	3302
518	3557	3296
519	3564	3290
520	3571	3283
521	3578	3276
522	3584	3269
523	3591	3262
524	3597	3255
525	3604	3247
526	3611	3241
527	3618	3234
528	3625	3227
529	3631	3220
530	3638	3213
531	3645	3206
532	3651	3199
533	3658	3192
534	3664	3184
535	3670	3177
536	3677	3170
537	3683	3163
538	3691	3156
539	3697	3149
540	3704	3143
541	3711	3136
542	3718	3129
543	3726	3123
544	3732	3116
545	3741	3110
546	3747	3103
547	3753	3096
548	3760	3089
549	3766	3081
550	3772	3074
551	3778	3066
552	3784	3059
553	3790	3051
554	3797	3044
555	3803	3037
556	3809	3029
557	3816	3022
558	3823	3016
559	3829	3009
560	3836	3002
561	3843	2995
562	3850	2988
563	3857	2981
564	3864	2975
565	3871	2968
566	3878	2962
567	3885	2954
568	3891	2947
569	3898	2940
570	3904	2933
571	3910	2925
572	3916	2918
573	3922	2911
574	3929	2904
575	3935	2897
576	3942	2890
577	3948	2882
578	3955	2875
579	3961	2868
580	3968	2861
581	3974	2854
582	3981	2847
583	3987	2840
584	3993	2833
585	3999	2825
586	4005	2818
587	4012	2811
588	4018	2804
589	4025	2797
590	4032	2790
591	4039	2783
592	4046	2777
593	4062	2776
594	4074	2773
595	4081	2766
596	4088	2760
597	4095	2753
598	4102	2746
599	4110	2740
600	4116	2733
601	4123	2726
602	4129	2718
603	4136	2712
604	4143	2705
605	4149	2697
606	4155	2690
607	4162	2683
608	4168	2676
609	4174	2669
610	4180	2661
611	4187	2654
612	4193	2647
613	4200	2640
614	4206	2633
615	4213	2626
616	4220	2619
617	4226	2612
618	4233	2606
619	4240	2599
